Response_ID,What year were you born,Gender,Tenure,Industry,Organisation size,Household Type,Metro or Regional,Pay cut willingness to work remotely,Productivity while working remotely
101,1978,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,20% More productive
102,1997,Female,Between 1 and 5 years,Public and utility services,Between 1 and 4,Couple with dependent children,Metro,Yes,10% More productive
103,1976,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,30% More productive
104,1975,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,Yes,40% More productive
105,1993,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,No Change
106,1992,Female,Between 6 and 12 months,Retail and Food,Between 20 and 199,One parent family with dependent children,Metro,Yes,30% More productive
107,1969,Female,More than 5 years,Retail and Food,Between 20 and 199,One parent family with dependent children,Metro,Yes,40% More productive
108,1986,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
109,1978,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,One parent family with dependent children,Regional,No,20% More productive
110,1992,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,30% More productive
111,1995,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,No,40% More productive
112,1984,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,50% More productive
113,1998,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Multiple family household,Metro,No,No Change
114,1987,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Regional,No,20% More productive
115,1974,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,20% More productive
116,1986,Female,More than 5 years,Retail and Food,More than 200,Multiple family household,Metro,Yes,30% More productive
117,1977,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,20% More productive
118,1989,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,10% Less productive
119,1983,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,30% Less productive
120,1999,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
121,1981,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
122,1971,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
123,1986,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
124,1981,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
125,1978,Male,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Regional,No,10% Less productive
126,1995,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Group household,Metro,No,50% More productive
127,1972,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
128,1992,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,10% Less productive
129,1980,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Multiple family household,Metro,Yes,20% More productive
130,1979,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,50% More productive
131,1992,Female,Between 1 and 5 years,Public and utility services,More than 200,Multiple family household,Metro,No,30% More productive
132,1968,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,20% More productive
133,1999,Male,Between 1 and 5 years,Retail and Food,More than 200,Multiple family household,Regional,No,10% Less productive
134,1998,Female,Between 1 and 5 years,Service Industry,More than 200,Other one family household,Metro,Yes,No Change
135,1996,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,50% More productive
136,1986,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,30% Less productive
137,1980,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
138,1999,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,No Change
139,1966,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% More productive
140,1993,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Single person,Metro,No,50% More productive
141,1981,Male,Between 6 and 12 months,Manufacturing and trade,More than 200,Couple with dependent children,Metro,Yes,30% More productive
142,1993,Female,Between 1 and 5 years,Service Industry,More than 200,Multiple family household,Metro,No,50% More productive
143,1990,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
144,1999,Female,Between 6 and 12 months,Retail and Food,More than 200,Couple with no dependent children,Metro,No,50% Less productive
145,1983,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,30% More productive
146,1995,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,30% Less productive
147,1988,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,Yes,30% More productive
148,1989,Female,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No,30% More productive
149,1992,Male,More than 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,No,20% More productive
150,1991,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
151,1990,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,No,50% More productive
152,1992,Female,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Regional,No,40% More productive
153,1979,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
154,1990,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,Yes,30% More productive
155,1982,Female,More than 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,No,10% More productive
156,1980,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,10% More productive
157,1990,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,Yes,40% More productive
158,1999,Female,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Regional,No,10% Less productive
159,1994,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,40% More productive
160,1985,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,30% More productive
161,1977,Male,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,40% More productive
162,1994,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Regional,No,50% More productive
163,1984,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Group household,Metro,Yes,20% More productive
164,1984,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
165,1994,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,10% Less productive
166,1995,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,50% More productive
167,1995,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,Yes,No Change
168,1990,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% Less productive
169,1987,Male,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Regional,Yes,20% More productive
170,1973,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,40% Less productive
171,1974,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,20% More productive
172,1985,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Single person,Metro,No,No Change
173,1992,Female,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Regional,Yes,No Change
174,1983,Female,More than 5 years,Service Industry,More than 200,Single person,Regional,No,30% More productive
175,1976,Female,More than 5 years,Retail and Food,Between 20 and 199,Single person,Metro,Yes,50% More productive
176,2001,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Multiple family household,Metro,No,10% Less productive
177,1996,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,10% More productive
178,1987,Male,Between 6 and 12 months,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,No,10% More productive
179,1973,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,10% More productive
180,1963,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
181,1997,Female,Between 1 and 5 years,Retail and Food,Between 5 and 19,Other one family household,Metro,Yes,30% More productive
182,1986,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,No Change
183,1981,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,10% More productive
184,1988,Female,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No,No Change
185,1984,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Regional,No,20% More productive
186,1994,Female,More than 5 years,Service Industry,Between 1 and 4,One parent family with dependent children,Metro,No,50% Less productive
187,1990,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,10% More productive
188,1980,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Group household,Metro,No,30% More productive
189,1997,Female,Between 6 and 12 months,Service Industry,Between 1 and 4,Other one family household,Regional,No,20% Less productive
190,1979,Female,More than 5 years,Service Industry,Between 5 and 19,Single person,Metro,Yes,50% More productive
191,1988,Male,More than 5 years,Service Industry,Between 20 and 199,Group household,Metro,Yes,20% More productive
192,1960,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,10% More productive
193,1974,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,No Change
194,2002,Female,Between 6 and 12 months,Service Industry,Between 5 and 19,Single person,Metro,Yes,40% More productive
195,2000,Female,Between 1 and 5 years,Service Industry,More than 200,Other one family household,Metro,Yes,20% More productive
196,1980,Female,Between 6 and 12 months,Service Industry,More than 200,Group household,Metro,No,10% Less productive
197,1974,Female,More than 5 years,Retail and Food,More than 200,Single person,Metro,No,10% Less productive
198,1972,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,50% More productive
199,1973,Female,Between 1 and 5 years,Retail and Food,More than 200,One parent family with dependent children,Regional,No,No Change
200,1996,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,50% More productive
201,1984,Female,More than 5 years,Service Industry,Between 5 and 19,Group household,Metro,Yes,40% More productive
202,1971,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,No,50% More productive
203,1977,Female,More than 5 years,Retail and Food,Between 1 and 4,Couple with dependent children,Regional,Yes,50% More productive
204,1974,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,10% More productive
205,1958,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,No,No Change
206,1984,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,40% More productive
207,1957,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,Yes,No Change
208,1989,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,Yes,50% More productive
209,1988,Female,Between 6 and 12 months,Retail and Food,I am a sole trader/owner-operator,Couple with no dependent children,Regional,No,30% More productive
210,1990,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Single person,Metro,Yes,20% More productive
211,1974,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,No,No Change
212,1990,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,20% More productive
213,1964,Male,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,Yes,30% More productive
214,1960,Male,More than 5 years,Service Industry,I am a sole trader/owner-operator,Single person,Metro,No,30% More productive
215,1996,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,20% More productive
216,1963,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,Yes,20% More productive
217,1970,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,No Change
218,1987,Female,Between 6 and 12 months,Public and utility services,I am a sole trader/owner-operator,One parent family with dependent children,Metro,No,20% More productive
219,1980,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
220,1978,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% More productive
221,1994,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,One parent family with dependent children,Metro,Yes,50% More productive
222,1964,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,No Change
223,1987,Male,Between 6 and 12 months,Retail and Food,Between 1 and 4,One parent family with dependent children,Metro,No,40% More productive
224,1973,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
225,1990,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,30% More productive
226,1958,Female,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Regional,No,No Change
227,1969,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,No Change
228,1979,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,50% More productive
229,1991,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,Yes,20% More productive
230,1985,Male,Between 6 and 12 months,Manufacturing and trade,Between 5 and 19,Single person,Metro,No,30% More productive
231,1988,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,50% More productive
232,1961,Female,More than 5 years,Manufacturing and trade,Between 1 and 4,Couple with no dependent children,Metro,Yes,No Change
233,1970,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,Yes,40% Less productive
234,1982,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,50% More productive
235,1980,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,Yes,30% More productive
236,1986,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Regional,Yes,20% More productive
237,1991,Male,More than 5 years,Service Industry,Between 20 and 199,Group household,Metro,No,10% More productive
238,1986,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,No,No Change
239,2001,Female,Between 6 and 12 months,Retail and Food,Between 5 and 19,Other one family household,Regional,Yes,10% More productive
240,1980,Male,More than 5 years,Manufacturing and trade,More than 200,One parent family with dependent children,Metro,Yes,30% More productive
241,1970,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
242,1983,Female,Between 6 and 12 months,Public and utility services,Between 5 and 19,One parent family with dependent children,Regional,Yes,50% More productive
243,1978,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
244,1962,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Regional,No,50% More productive
245,1994,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,No,No Change
246,1979,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,Yes,30% More productive
247,1964,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,20% Less productive
248,1964,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,No Change
249,1965,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,Yes,20% More productive
250,1996,Female,Between 6 and 12 months,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,No,10% Less productive
251,1964,Female,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,No Change
252,1985,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,No Change
253,1980,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
254,1993,Female,Between 1 and 5 years,Public and utility services,More than 200,One parent family with dependent children,Regional,No,No Change
255,1963,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
256,1969,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No,20% More productive
257,1957,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,20% More productive
258,1985,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,40% More productive
259,1969,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,No,50% More productive
260,1997,Female,Between 6 and 12 months,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,Yes,No Change
261,1990,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,20% Less productive
262,1982,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,50% More productive
263,2000,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,30% Less productive
264,1973,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,10% Less productive
265,1986,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,10% More productive
266,1973,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,10% More productive
