Response_ID,What_year_were_you_born,Gender,Tenure,Industry,Organisation_size,Household_type,Metro_Regional,Productivity while working remotely
54,1960,Female,More than 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Metro,No change
55,1985,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,50% More productive
56,1962,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No change
57,1964,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,10% Less productive
58,1965,Male,Between 1 and 5 years,Public and utility services,More than 200,Single person,Metro,20% More productive
59,1988,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,10% More productive
60,1959,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Regional,40% More productive
61,1966,Female,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,50% More productive
62,1960,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,30% Less productive
63,1979,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Multiple family household,Metro,20% More productive
64,1966,Female,More than 5 years,Service Industry,Between 5 and 19,Single person,Metro,No change
65,1956,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
66,1962,Female,More than 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,No change
67,1957,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
68,1986,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,40% Less productive
69,1987,Female,Between 1 and 5 years,Retail and Food,Between 1 and 4,Other one family household,Metro,30% More productive
70,1964,Female,More than 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,50% More productive
71,1961,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,10% Less productive
72,1987,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% More productive
73,1959,Female,More than 5 years,Service Industry,I am the only employee,Single person,Metro,20% More productive
74,1985,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No change
75,1985,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,50% More productive
76,1992,Female,More than 5 years,Service Industry,Between 5 and 19,Single person,Metro,50% More productive
77,1961,Female,Between 1 and 5 years,Retail and Food,I am the only employee,Single person,Regional,20% More productive
78,1973,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
79,1963,Female,More than 5 years,Service Industry,I am the only employee,Couple with dependent children,Metro,No change
80,1968,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,40% More productive
81,1961,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,10% Less productive
82,1968,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No change
83,1964,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,10% More productive
84,1969,Male,More than 5 years,Service Industry,More than 200,One  parent family with dependent children,Metro,No change
85,1968,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,50% More productive
86,1965,Male,Between 6 and 12 months,Retail and Food,Between 5 and 19,One  parent family with dependent children,Metro,No change
87,1964,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,50% Less productive
88,1957,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
89,1970,Female,More than 5 years,Service Industry,More than 200,One  parent family with dependent children,Metro,No change
90,1980,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,30% More productive
91,1974,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No change
92,1960,Male,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,50% More productive
93,1963,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,20% Less productive
94,1986,Female,Between 6 and 12 months,Retail and Food,Between 20 and 199,Other one family household,Metro,No change
95,2000,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Group household,Metro,30% Less productive
96,1971,Male,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Regional,10% More productive
97,1970,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Single person,Metro,10% More productive
98,1964,Male,More than 5 years,Retail and Food,More than 200,Single person,Metro,10% Less productive
99,1960,Female,More than 5 years,Public and utility services,Between 1 and 4,Multiple family household,Metro,No change
100,1962,Male,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,20% More productive
101,1974,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,50% More productive
102,1959,Male,More than 5 years,Retail and Food,Between 1 and 4,Couple with no dependent children,Metro,50% More productive
103,1955,Male,More than 5 years,Service Industry,More than 200,Other one family household,Metro,50% More productive
104,1960,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,20% More productive
105,1961,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
106,1959,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No change
107,1968,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No change
108,1969,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
109,1968,Male,Between 6 and 12 months,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,10% Less productive
110,1990,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,No change
111,1960,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
112,1994,Female,Between 6 and 12 months,Service Industry,More than 200,Group household,Metro,30% More productive
113,1959,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% Less productive
114,1990,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,30% More productive
115,1960,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
116,1962,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
117,1972,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
118,1957,Male,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,20% More productive
119,1964,Male,More than 5 years,Retail and Food,Between 1 and 4,Couple with no dependent children,Metro,20% More productive
120,1970,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
121,1962,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,10% Less productive
122,1959,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,10% More productive
123,1963,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,No change
124,1970,Male,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,20% More productive
125,1963,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No change
126,1964,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,30% More productive
127,1965,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No change
128,1983,Female,Between 1 and 5 years,Retail and Food,More than 200,Single person,Metro,No change
129,1965,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,20% More productive
130,1980,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No change
131,1988,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,10% Less productive
132,1955,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,10% More productive
133,1974,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
134,1981,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No change
135,1977,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,40% More productive
136,1967,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,30% More productive
137,1966,Female,Between 1 and 5 years,Service Industry,I am the only employee,Couple with dependent children,Metro,50% More productive
138,1958,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,10% More productive
139,1995,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,No change
140,1971,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,One  parent family with dependent children,Metro,50% More productive
141,1961,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,10% More productive
142,1982,Female,More than 5 years,Service Industry,I am the only employee,Couple with no dependent children,Metro,50% More productive
143,1977,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Regional,No change
144,1991,Female,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Metro,50% More productive
145,1977,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,20% Less productive
146,1989,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,50% More productive
147,1973,Female,More than 5 years,Manufacturing and trade,I am the only employee,One  parent family with dependent children,Regional,30% More productive
148,1991,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
149,1987,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No change
150,1993,Female,More than 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Metro,40% Less productive
151,1975,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No change
152,1996,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% More productive
153,1991,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,20% Less productive
154,1990,Female,More than 5 years,Public and utility services,Between 1 and 4,Single person,Metro,No change
155,1990,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
156,1998,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No change
157,1990,Male,Between 6 and 12 months,Manufacturing and trade,Between 20 and 199,Group household,Metro,20% More productive
158,1957,Female,More than 5 years,Public and utility services,More than 200,Single person,Metro,10% Less productive
159,1971,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,40% Less productive
160,1987,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
161,1967,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Regional,30% Less productive
162,1964,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,50% More productive
163,1976,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,20% More productive
164,1990,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,One  parent family with dependent children,Metro,50% More productive
165,1965,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No change
166,1970,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% More productive
167,1967,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,One  parent family with dependent children,Metro,No change
168,1989,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,30% More productive
169,1965,Male,More than 5 years,Manufacturing and trade,I am the only employee,Single person,Metro,20% More productive
170,1983,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,20% More productive
171,1978,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No change
172,1989,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No change
173,1985,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
174,1976,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No change
175,1990,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,No change
176,1956,Female,More than 5 years,Service Industry,I am the only employee,Single person,Metro,30% More productive
177,1995,Female,Between 6 and 12 months,Service Industry,I am the only employee,Couple with no dependent children,Metro,No change
178,1977,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,10% More productive
179,1975,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,50% More productive
180,1961,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,50% More productive
181,1973,Female,More than 5 years,Service Industry,I am the only employee,Couple with no dependent children,Regional,No change
182,1969,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Single person,Metro,20% More productive
183,1995,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,50% More productive
184,1973,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% Less productive
185,1964,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No change
186,1992,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Regional,20% More productive
187,1970,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,20% Less productive
188,1981,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,10% Less productive
189,1990,Female,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with no dependent children,Regional,50% More productive
190,1992,Female,Between 1 and 5 years,Public and utility services,More than 200,Single person,Regional,30% More productive
191,1983,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Regional,20% Less productive
192,1986,Female,More than 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Regional,30% More productive
193,1969,Female,More than 5 years,Public and utility services,I am the only employee,Couple with no dependent children,Regional,50% More productive
194,1963,Female,Between 1 and 5 years,Service Industry,More than 200,One  parent family with dependent children,Regional,50% More productive
195,1975,Female,More than 5 years,Service Industry,More than 200,Single person,Regional,50% More productive
196,1966,Female,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Regional,20% Less productive
197,1956,Female,More than 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Regional,20% Less productive
198,1960,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Regional,30% More productive
199,1958,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Regional,20% More productive
200,1958,Female,Between 1 and 5 years,Service Industry,I am the only employee,Couple with no dependent children,Regional,No change
201,1964,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Regional,No change
202,1960,Female,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Regional,No change
203,1972,Female,Between 1 and 5 years,Retail and Food,Between 5 and 19,One  parent family with dependent children,Regional,20% More productive
204,1988,Female,Between 1 and 5 years,Service Industry,More than 200,Other one family household,Regional,No change
205,1977,Female,Between 1 and 5 years,Retail and Food,I am the only employee,Couple with dependent children,Regional,No change
206,1973,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,50% More productive
207,1988,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,20% More productive
208,1956,Male,More than 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Regional,50% Less productive
209,1957,Male,More than 5 years,Retail and Food,Between 1 and 4,Single person,Regional,30% Less productive
210,1958,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Regional,No change
211,1975,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No change
212,1993,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,50% More productive
213,1986,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
214,1997,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No change
215,1994,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No change
216,1991,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
217,1993,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% More productive
218,1981,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% Less productive
219,1987,Male,More than 5 years,Retail and Food,More than 200,Single person,Metro,No change
220,1982,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No change
221,1986,Female,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,20% More productive
222,1967,Female,More than 5 years,Manufacturing and trade,More than 200,One  parent family with dependent children,Metro,20% More productive
223,1971,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,30% More productive
224,1987,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,50% Less productive
225,1987,Female,Between 1 and 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,30% More productive
226,1972,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,One  parent family with dependent children,Metro,30% More productive
227,1977,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,30% More productive
228,1982,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,40% More productive
229,1900,Male,Between 6 and 12 months,Manufacturing and trade,Between 1 and 4,Couple with dependent children,Metro,50% More productive
230,1961,Female,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,10% More productive
231,1975,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,20% More productive
232,1967,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,20% More productive
233,1955,Female,More than 5 years,Retail and Food,Between 1 and 4,One  parent family with dependent children,Regional,No change
234,1979,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No change
235,1958,Male,More than 5 years,Service Industry,Between 1 and 4,Single person,Metro,20% More productive
236,1994,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Single person,Metro,20% More productive
237,1975,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No change
238,1978,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,40% More productive
239,1956,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,20% More productive
240,1987,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No change
241,1989,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,30% More productive
242,1990,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,30% Less productive
243,1965,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Group household,Metro,50% More productive
244,1985,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No change
245,1992,Female,Between 6 and 12 months,Service Industry,More than 200,Group household,Metro,No change
246,1981,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,10% More productive
247,1971,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Regional,No change
248,1977,Female,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No change
249,1999,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,50% Less productive
250,1980,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No change
251,1977,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Regional,40% More productive
252,1990,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,10% Less productive
253,1974,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,10% More productive
254,1988,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,30% Less productive
255,1984,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,10% Less productive
256,1990,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,No change
257,1967,Male,Between 1 and 5 years,Public and utility services,More than 200,Single person,Regional,No change
258,1968,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,20% More productive
259,1967,Male,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with dependent children,Metro,20% Less productive
260,1959,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,30% More productive
261,1960,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,30% More productive
262,1991,Female,Between 6 and 12 months,Service Industry,Between 1 and 4,Couple with dependent children,Regional,40% More productive
263,1973,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,No change
264,1984,Male,Between 1 and 5 years,Public and utility services,More than 200,One  parent family with dependent children,Metro,20% Less productive
265,1990,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Regional,50% More productive
266,1962,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,30% More productive
267,1987,Female,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No change
268,1974,Male,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Regional,50% Less productive
269,1956,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,No change
270,1961,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,30% More productive
271,1962,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,30% More productive
272,1960,Male,Between 1 and 5 years,Service Industry,I am the only employee,Couple with no dependent children,Metro,10% More productive
273,1960,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,20% Less productive
274,1960,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,10% More productive
275,1962,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,50% More productive
276,1960,Male,More than 5 years,Retail and Food,Between 20 and 199,Single person,Metro,40% More productive
277,1997,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Single person,Metro,40% More productive
278,1995,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No change
279,1973,Male,More than 5 years,Service Industry,More than 200,One  parent family with dependent children,Metro,20% More productive
280,1960,Female,Between 1 and 5 years,Service Industry,I am the only employee,Couple with no dependent children,Metro,50% More productive
281,1963,Male,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,20% Less productive
282,1964,Male,Between 1 and 5 years,Retail and Food,Between 5 and 19,Single person,Metro,20% More productive
283,1957,Male,More than 5 years,Manufacturing and trade,Between 5 and 19,Other one family household,Metro,30% More productive
284,1979,Female,More than 5 years,Service Industry,I am the only employee,Single person,Metro,20% Less productive
285,1957,Male,More than 5 years,Retail and Food,Between 1 and 4,Couple with no dependent children,Metro,No change
286,1962,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,20% More productive
287,1966,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No change
288,1961,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Regional,20% More productive
